Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,C:\GitHub\CatalogApi\CatalogApi\CatalogApi.csproj,File,C:\GitHub\CatalogApi\CatalogApi\CatalogApi.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net9.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,FIAP_Cloud_Games.API\FIAP_Cloud_Games.Api.csproj,File,FIAP_Cloud_Games.API\FIAP_Cloud_Games.Api.csproj,,,Microsoft.AspNetCore.Authentication.JwtBearer 8.0.21,,,,,"Microsoft.AspNetCore.Authentication.JwtBearer, 8.0.21  Recommendation:  Remove Microsoft.AspNetCore.Authentication.JwtBearer, and replace with new package Microsoft.AspNetCore.Authentication.JwtBearer 9.0.12"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,FIAP_Cloud_Games.API\FIAP_Cloud_Games.Api.csproj,File,FIAP_Cloud_Games.API\FIAP_Cloud_Games.Api.csproj,,,Microsoft.EntityFrameworkCore.Design 9.0.10,,,,,"Microsoft.EntityFrameworkCore.Design, 9.0.10  Recommendation:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 9.0.12"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,FIAP_Cloud_Games.API\FIAP_Cloud_Games.Api.csproj,File,FIAP_Cloud_Games.API\FIAP_Cloud_Games.Api.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net9.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FIAP_Cloud_Games.API\FIAP_Cloud_Games.Api.csproj,File,FIAP_Cloud_Games.API\Program.cs,29,4,P:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerOptions.TokenValidationParameters,,,,,"options.TokenValidationParameters = new TokenValidationParameters      {          ValidateIssuer = true,          ValidateAudience = true,          ValidateLifetime = true,          ValidateIssuerSigningKey = true,          ValidIssuer = issuer,          ValidAudience = audience,          IssuerSigningKey = new SymmetricSecurityKey(Encoding.UTF8.GetBytes(key)),          ClockSkew = TimeSpan.Zero      };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FIAP_Cloud_Games.API\FIAP_Cloud_Games.Api.csproj,File,FIAP_Cloud_Games.API\Program.cs,25,4,T:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerDefaults,,,,,options.DefaultChallengeScheme = JwtBearerDefaults.AuthenticationScheme;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FIAP_Cloud_Games.API\FIAP_Cloud_Games.Api.csproj,File,FIAP_Cloud_Games.API\Program.cs,25,4,F:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerDefaults.AuthenticationScheme,,,,,options.DefaultChallengeScheme = JwtBearerDefaults.AuthenticationScheme;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FIAP_Cloud_Games.API\FIAP_Cloud_Games.Api.csproj,File,FIAP_Cloud_Games.API\Program.cs,24,4,T:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerDefaults,,,,,options.DefaultAuthenticateScheme = JwtBearerDefaults.AuthenticationScheme;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FIAP_Cloud_Games.API\FIAP_Cloud_Games.Api.csproj,File,FIAP_Cloud_Games.API\Program.cs,24,4,F:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerDefaults.AuthenticationScheme,,,,,options.DefaultAuthenticateScheme = JwtBearerDefaults.AuthenticationScheme;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FIAP_Cloud_Games.API\FIAP_Cloud_Games.Api.csproj,File,FIAP_Cloud_Games.API\Program.cs,22,0,T:Microsoft.Extensions.DependencyInjection.JwtBearerExtensions,,,,,"builder.Services.AddAuthentication(options =>  {      options.DefaultAuthenticateScheme = JwtBearerDefaults.AuthenticationScheme;      options.DefaultChallengeScheme = JwtBearerDefaults.AuthenticationScheme;  })  .AddJwtBearer(options =>  {      options.TokenValidationParameters = new TokenValidationParameters      {          ValidateIssuer = true,          ValidateAudience = true,          ValidateLifetime = true,          ValidateIssuerSigningKey = true,          ValidIssuer = issuer,          ValidAudience = audience,          IssuerSigningKey = new SymmetricSecurityKey(Encoding.UTF8.GetBytes(key)),          ClockSkew = TimeSpan.Zero      };  });"
